question,answer,answer_type,category,main_topic,main_topic_id,subtopic,subtopic_id,intent,difficulty,layer,answer_word_count
Điều kiện để được yêu cầu ly hôn như thế nào?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau. Cụ thể như sau:

Điều kiện để ly hôn thuận tình

- Hai bên thật sự tự nguyện ly hôn

- Hai bên đã thỏa thuận về việc chia tài sản, quyền nuôi con, nghĩa vụ cấp dưỡng…

Điều kiện để đơn phương ly hôn

- Vợ, chồng có hành vi bạo lực gia đình

- Khi một người vi phạm nghiêm trọng quyền, nghĩa vụ làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài;

- Vợ hoặc chồng bị Tòa án tuyên bố mất tích;

- Khi một người bị bệnh tâm thần hoặc bệnh khác đồng thời là nạn nhân của bạo lực gia đình do người còn lại gây nên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,158
Điều kiện để được yêu cầu ly hôn như thế nào?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,37
Mình muốn hỏi về điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau. Cụ thể như sau:

Điều kiện để ly hôn thuận tình

- Hai bên thật sự tự nguyện ly hôn

- Hai bên đã thỏa thuận về việc chia tài sản, quyền nuôi con, nghĩa vụ cấp dưỡng…

Điều kiện để đơn phương ly hôn

- Vợ, chồng có hành vi bạo lực gia đình

- Khi một người vi phạm nghiêm trọng quyền, nghĩa vụ làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài;

- Vợ hoặc chồng bị Tòa án tuyên bố mất tích;

- Khi một người bị bệnh tâm thần hoặc bệnh khác đồng thời là nạn nhân của bạo lực gia đình do người còn lại gây nên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,158
Mình muốn hỏi về điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,37
Điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau. Cụ thể như sau:

Điều kiện để ly hôn thuận tình

- Hai bên thật sự tự nguyện ly hôn

- Hai bên đã thỏa thuận về việc chia tài sản, quyền nuôi con, nghĩa vụ cấp dưỡng…

Điều kiện để đơn phương ly hôn

- Vợ, chồng có hành vi bạo lực gia đình

- Khi một người vi phạm nghiêm trọng quyền, nghĩa vụ làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài;

- Vợ hoặc chồng bị Tòa án tuyên bố mất tích;

- Khi một người bị bệnh tâm thần hoặc bệnh khác đồng thời là nạn nhân của bạo lực gia đình do người còn lại gây nên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,158
Điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,37
Hướng dẫn về điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau. Cụ thể như sau:

Điều kiện để ly hôn thuận tình

- Hai bên thật sự tự nguyện ly hôn

- Hai bên đã thỏa thuận về việc chia tài sản, quyền nuôi con, nghĩa vụ cấp dưỡng…

Điều kiện để đơn phương ly hôn

- Vợ, chồng có hành vi bạo lực gia đình

- Khi một người vi phạm nghiêm trọng quyền, nghĩa vụ làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài;

- Vợ hoặc chồng bị Tòa án tuyên bố mất tích;

- Khi một người bị bệnh tâm thần hoặc bệnh khác đồng thời là nạn nhân của bạo lực gia đình do người còn lại gây nên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,158
Hướng dẫn về điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,37
Cho tôi biết về điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau. Cụ thể như sau:

Điều kiện để ly hôn thuận tình

- Hai bên thật sự tự nguyện ly hôn

- Hai bên đã thỏa thuận về việc chia tài sản, quyền nuôi con, nghĩa vụ cấp dưỡng…

Điều kiện để đơn phương ly hôn

- Vợ, chồng có hành vi bạo lực gia đình

- Khi một người vi phạm nghiêm trọng quyền, nghĩa vụ làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài;

- Vợ hoặc chồng bị Tòa án tuyên bố mất tích;

- Khi một người bị bệnh tâm thần hoặc bệnh khác đồng thời là nạn nhân của bạo lực gia đình do người còn lại gây nên.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,158
Cho tôi biết về điều kiện để được yêu cầu ly hôn?,"Hiện nay, có hai hình thức ly hôn là ly hôn thuận tình và một bên gửi yêu cầu đơn phương ly hôn. Do đó, với mỗi loại hình thì sẽ yêu cầu điều kiện khác nhau.",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Điều kiện để được yêu cầu ly hôn,1.2,conditions,medium,1,37
Cho tôi biết chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).
Trường hợp không giữ Giấy chứng nhận kết hôn thì có thể liên hệ với cơ quan hộ tịch nơi đã đăng ký kết hôn để xin cấp bản sao.

Trường hợp không có Căn cước công dân/thẻ Căn cước của vợ/chồng thì theo hướng dẫn của Tòa án để nộp giấy tờ tùy thân khác thay thế.

Điểm khác biệt duy nhất giữa hai hình thức ly hôn này là ở nội dung của đơn ly hôn.

* Nếu đơn phương ly hôn thì sẽ dùng Mẫu đơn xin ly hôn đơn phương được ban hành kèm theo Nghị quyết số 01/2017/NQ-HĐTP.

* Nếu thuận tình ly hôn sẽ dùng Mẫu đơn xin ly hôn thuận tình.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,217
Cho tôi biết chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,99
Xin hướng dẫn chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).
Trường hợp không giữ Giấy chứng nhận kết hôn thì có thể liên hệ với cơ quan hộ tịch nơi đã đăng ký kết hôn để xin cấp bản sao.

Trường hợp không có Căn cước công dân/thẻ Căn cước của vợ/chồng thì theo hướng dẫn của Tòa án để nộp giấy tờ tùy thân khác thay thế.

Điểm khác biệt duy nhất giữa hai hình thức ly hôn này là ở nội dung của đơn ly hôn.

* Nếu đơn phương ly hôn thì sẽ dùng Mẫu đơn xin ly hôn đơn phương được ban hành kèm theo Nghị quyết số 01/2017/NQ-HĐTP.

* Nếu thuận tình ly hôn sẽ dùng Mẫu đơn xin ly hôn thuận tình.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,217
Xin hướng dẫn chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,99
Chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).
Trường hợp không giữ Giấy chứng nhận kết hôn thì có thể liên hệ với cơ quan hộ tịch nơi đã đăng ký kết hôn để xin cấp bản sao.

Trường hợp không có Căn cước công dân/thẻ Căn cước của vợ/chồng thì theo hướng dẫn của Tòa án để nộp giấy tờ tùy thân khác thay thế.

Điểm khác biệt duy nhất giữa hai hình thức ly hôn này là ở nội dung của đơn ly hôn.

* Nếu đơn phương ly hôn thì sẽ dùng Mẫu đơn xin ly hôn đơn phương được ban hành kèm theo Nghị quyết số 01/2017/NQ-HĐTP.

* Nếu thuận tình ly hôn sẽ dùng Mẫu đơn xin ly hôn thuận tình.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,217
Chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,99
Mình muốn hỏi chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).
Trường hợp không giữ Giấy chứng nhận kết hôn thì có thể liên hệ với cơ quan hộ tịch nơi đã đăng ký kết hôn để xin cấp bản sao.

Trường hợp không có Căn cước công dân/thẻ Căn cước của vợ/chồng thì theo hướng dẫn của Tòa án để nộp giấy tờ tùy thân khác thay thế.

Điểm khác biệt duy nhất giữa hai hình thức ly hôn này là ở nội dung của đơn ly hôn.

* Nếu đơn phương ly hôn thì sẽ dùng Mẫu đơn xin ly hôn đơn phương được ban hành kèm theo Nghị quyết số 01/2017/NQ-HĐTP.

* Nếu thuận tình ly hôn sẽ dùng Mẫu đơn xin ly hôn thuận tình.",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,217
Mình muốn hỏi chuẩn bị các loại giấy tờ gì để ly hôn?,"Về cơ bản thì các loại giấy tờ dùng trong trường hợp đơn phương ly hôn hoặc thuận tình ly hôn đều giống nhau. Những giấy tờ cần thiết gồm:

Đơn yêu cầu ly hôn (thuận tình hoặc đơn phương);
Giấy đăng ký kết hôn (bản chính);
Căn cước công dân/thẻ Căn cước của vợ và chồng (bản sao có chứng thực);
Giấy khai sinh của các con (nếu có con chung, bản sao có chứng thực);
Giấy tờ chứng minh quyền sở hữu đối với tài sản chung (nếu có tài sản chung, bản sao có chứng thực).",summary,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Chuẩn bị các loại giấy tờ gì để ly hôn?,1.3,documents,medium,1,99
Mình muốn hỏi nộp đơn ly hôn ở đâu?,"Theo quy định tại Điều 35 Bộ luật Tố tụng dân sự năm 2015 sửa đổi, bổ sung bởi khoản 2 Điều 1 Luật 85/2025/QH15, Tòa án nhân dân khu vực là nơi có thẩm quyền giải quyết thủ tục ly hôn cấp sơ thẩm.

* Đối với trường hợp thuận tình ly hôn

Nếu hai vợ chồng thuận tình ly hôn thì có thể thỏa thuận đến Tòa án nơi cư trú của vợ hoặc của chồng để làm thủ tục.

Trong thời hạn 03 ngày làm việc, kể từ ngày nhận đơn yêu cầu và tài liệu, chứng cứ kèm theo, Chánh án Tòa án sẽ phân công Thẩm phán giải quyết.

* Đối với trường hợp đơn phương ly hôn

Điều 39 Bộ luật Tố tụng dân sự 2015 quy định Tòa án nơi bị đơn cư trú, làm việc có thẩm quyền giải quyết theo thủ tục sơ thẩm những tranh chấp về hôn nhân và gia đình. Do đó, trong trường hợp đơn phương ly hôn, Tòa án nơi có thẩm quyền giải quyết sẽ là nơi bị đơn cư trú, làm việc.

Xem chi tiết: Danh sách 355 Tòa án nhân dân khu vực tại 34 tỉnh, thành phố

Đáng lưu ý: Hiện nay, theo quy định của khoản 4 Điều 85 Bộ luật Tố tụng dân sự năm 2015, vợ, chồng không được ủy quyền ly hôn cho người khác tham gia tố tụng mà chỉ được nhờ nộp đơn, nộp án phí... Thay vào đó, nếu không thể tham gia tố tụng thì vợ, chồng có thể gửi đơn đề nghị xét xử vắng mặt đến Tòa...",full,ly_hon,Hướng dẫn chi tiết thủ tục ly hôn,1,Nộp đơn ly hôn ở đâu?,1.4,location,hard,1,275
